Account,Transaction_Date,Transaction_Type,Num,Customer,Vendor,Memo,Cleared,Amount,Facility
,2025-05-02,Deposit,,,,REGULAR DEPOSIT,Reconciled,25000.0,Greeley
,2025-05-02,Deposit,,,,REGULAR DEPOSIT,Cleared,25000.0,Denver
,2025-05-02,Deposit,,,,TRANSFER          ONLINE TRANSFER          ONLINE                         XXXXXX7551,Cleared,25000.0,Denver
,2025-05-02,Deposit,,,,TRANSFER          ONLINE TRANSFER          ONLINE                         XXXXXX7607,Reconciled,25000.0,Greeley
,2025-05-29,Deposit,,Guardian Medical,,Sublease,Reconciled,225.0,Greeley
,2025-06-02,Deposit,,,,Weave Payment Pr  Weave Paym Weave Payment Pr  Weave Paym                     XXXXXX9177,Reconciled,43.67,Greeley
,2025-06-03,Deposit,,,,Weave Payment Pr  Weave Paym Weave Payment Pr  Weave Paym                     XXXXXX9177,Reconciled,58.06,Greeley
,2025-06-04,Deposit,,Patient Payment,,Weave Payment Pr  Weave Paym Weave Payment Pr  Weave Paym                     XXXXXX5456,Cleared,251.51,Denver
,2025-06-04,Deposit,,,,Weave Payment Pr  Weave Paym Weave Payment Pr  Weave Paym                     XXXXXX9177,Reconciled,116.37,Greeley
,2025-06-04,Deposit,,,,Weave Payment Pr  Weave Paym Weave Payment Pr  Weave Paym                     XXXXXX9177,Reconciled,68.07,Greeley
,2025-06-05,Deposit,,,,Weave Payment Pr  Weave Paym Weave Payment Pr  Weave Paym                     XXXXXX9177,Reconciled,24.15,Greeley
,2025-06-06,Deposit,,,,Weave Payment Pr  Weave Paym Weave Payment Pr  Weave Paym                     XXXXXX9177,Reconciled,9.51,Greeley
,2025-06-09,Deposit,,,,Weave Payment Pr  Weave Paym Weave Payment Pr  Weave Paym                     XXXXXX9177,Reconciled,169.8,Greeley
,2025-06-11,Deposit,,,,Weave Payment Pr  Weave Paym Weave Payment Pr  Weave Paym                     XXXXXX9177,Reconciled,14.39,Greeley
,2025-06-13,Deposit,,,,WEAVE PAYMENT PR  WEAVE PAYM WEAVE PAYMENT PR  WEAVE PAYM                     XXXXXX0883,Reconciled,43.67,Greeley
,2025-06-16,Deposit,,,,WEAVE PAYMENT PR  WEAVE PAYM WEAVE PAYMENT PR  WEAVE PAYM                     XXXXXX9609,Reconciled,43.67,Greeley
,2025-06-17,Deposit,,,,TRANSFER          ONLINE TRANSFER          ONLINE                         XXXXXX5803,Reconciled,10000.0,Greeley
,2025-06-18,Deposit,,,,Weave Payment Pr  Weave Paym Weave Payment Pr  Weave Paym                     XXXXXX9177,Reconciled,29.03,Greeley
,2025-06-20,Deposit,,HSS,,REGULAR DEPOSIT,Cleared,376.02,Denver
,2025-06-20,Deposit,,HSS,,REGULAR DEPOSIT,Cleared,2148.87,Denver
,2025-06-24,Deposit,,,,Weave Payment Pr  Weave Paym Weave Payment Pr  Weave Paym                     XXXXXX9177,Reconciled,68.07,Greeley
,2025-06-25,Deposit,,,,Weave Payment Pr  Weave Paym Weave Payment Pr  Weave Paym                     XXXXXX9177,Reconciled,174.93,Greeley
,2025-06-26,Deposit,,,,Weave Payment Pr  Weave Paym Weave Payment Pr  Weave Paym                     XXXXXX9177,Reconciled,19.27,Greeley
,2025-06-27,Deposit,,HSS,,,,11959.62,Denver
,2025-06-27,Deposit,,HSS,,HSS,Cleared,11959.62,Denver
,2025-06-30,Deposit,,,,Weave Payment Pr  Weave Paym Weave Payment Pr  Weave Paym                     XXXXXX9177,Reconciled,72.7,Greeley
,2025-06-30,Deposit,,,,June 2025,Cleared,406.81,Greeley
