Month,Category,Amount,Facility,Is_Patient_Revenue
2025-08,Services,917.19,Greeley,True
2025-09,Services,1020.54,Greeley,True
2025-09,Cardigan Health,7497.48,Greeley,True
2025-10,Cardigan Health,17.82,Greeley,True
2025-06,Commercial Insurance Payments,406.81,Greeley,True
2025-07,Commercial Insurance Payments,636.05,Greeley,True
2025-08,Commercial Insurance Payments,568.52,Greeley,True
2025-09,Commercial Insurance Payments,724.79,Greeley,True
2025-11,Commercial Insurance Payments,1381.67,Greeley,True
2025-12,Commercial Insurance Payments,2381.2,Greeley,True
2026-01,Commercial Insurance Payments,1537.87,Greeley,True
2025-10,Direct Lien,369.0,Greeley,True
2025-07,HSS,417.6,Greeley,True
2025-08,HSS,860.64,Greeley,True
2025-09,HSS,2422.89,Greeley,True
2025-10,HSS,2584.99,Greeley,True
2025-11,HSS,1592.57,Greeley,True
2025-12,HSS,2232.76,Greeley,True
2026-01,HSS,525.02,Greeley,True
2025-08,Marrick Medical,8030.31,Greeley,True
2025-09,Marrick Medical,5644.08,Greeley,True
2025-10,Marrick Medical,4851.07,Greeley,True
2025-11,Marrick Medical,6749.06,Greeley,True
2025-12,Marrick Medical,5067.21,Greeley,True
2026-01,Marrick Medical,2506.28,Greeley,True
2025-11,MEDPAY,969.28,Greeley,True
2025-12,MEDPAY,1726.44,Greeley,True
2025-09,Medport,2021.77,Greeley,True
2025-10,Medport,3367.42,Greeley,True
2025-11,Medport,114.91,Greeley,True
2025-06,Patient Payment,955.36,Greeley,True
2025-07,Patient Payment,329.34,Greeley,True
2025-08,Patient Payment,2223.28,Greeley,True
2025-09,Patient Payment,1428.22,Greeley,True
2025-10,Patient Payment,1002.65,Greeley,True
2025-11,Patient Payment,2607.53,Greeley,True
2025-12,Patient Payment,1083.17,Greeley,True
2026-01,Patient Payment,753.96,Greeley,True
2025-11,PROVE,1177.97,Greeley,True
2026-01,PROVE,73.32,Greeley,True
2025-08,SUBLEASE,225.0,Greeley,False
2025-09,SUBLEASE,225.0,Greeley,False
2025-10,SUBLEASE,225.0,Greeley,False
2025-11,SUBLEASE,225.0,Greeley,False
2025-12,SUBLEASE,225.0,Greeley,False
2025-07,TRIO,10854.54,Greeley,True
2025-08,TRIO,3112.99,Greeley,True
2025-09,TRIO,3913.09,Greeley,True
2025-10,TRIO,9540.59,Greeley,True
2025-11,TRIO,4438.27,Greeley,True
2025-12,TRIO,2286.65,Greeley,True
2026-01,TRIO,467.18,Greeley,True
2025-10,Work Comp Payments,1854.99,Greeley,True
2025-11,Work Comp Payments,618.72,Greeley,True
2025-12,Work Comp Payments,2129.73,Greeley,True
2026-01,Work Comp Payments,436.25,Greeley,True
2025-10,Zobell Law,13007.88,Greeley,True
2025-05,Uncategorized Income,225.0,Greeley,False
2025-07,Uncategorized Income,225.0,Greeley,False
2025-06,Services,251.51,Denver,True
2025-10,Services,1950.65,Denver,True
2025-09,Cardigan Health,2069.13,Denver,True
2025-10,Cardigan Health,1144.86,Denver,True
2025-11,Cardigan Health,595.5,Denver,True
2025-06,HSS,14484.51,Denver,True
2025-07,HSS,4572.09,Denver,True
2025-08,HSS,7085.01,Denver,True
2025-09,HSS,5771.88,Denver,True
2025-10,HSS,9442.57,Denver,True
2025-11,HSS,5943.09,Denver,True
2025-12,HSS,6550.86,Denver,True
2026-01,HSS,4758.36,Denver,True
2025-10,Marrick Medical,2497.53,Denver,True
2025-11,Marrick Medical,5394.83,Denver,True
2025-12,Marrick Medical,6128.42,Denver,True
2026-01,Marrick Medical,6606.08,Denver,True
2025-10,MEDPORT,3367.42,Denver,False
2025-11,MEDPORT,73.31,Denver,False
2025-12,MEDPORT,73.3,Denver,False
2026-01,MEDPORT,73.31,Denver,False
2025-08,TRIO,850.44,Denver,True
2025-10,TRIO,687.36,Denver,True
2025-11,TRIO,745.22,Denver,True
2025-12,TRIO,678.5,Denver,True
2025-10,Uncategorized Income,213.0,Denver,False
