Month,Facility,EHR_Total_Collected,EHR_Patient_Paid,EHR_Insurance_Paid,EHR_Visit_Count,QB_Revenue,Discrepancy,Discrepancy_Pct,Flag
2025-05,Denver,4011.0099999999998,789.12,3221.89,39,0.0,-4011.0099999999998,-100.0,REVIEW
2025-05,Greeley,10120.39,283.5,9836.89,104,0.0,-10120.39,-100.0,REVIEW
2025-06,Denver,7591.8099999999995,95.0,7496.8099999999995,80,14736.02,7144.210000000001,94.10417278619988,REVIEW
2025-06,Greeley,10735.8,90.94,10644.86,128,1362.17,-9373.63,-87.31189105609269,REVIEW
2025-07,Denver,5250.07,137.09,5112.98,43,4572.09,-677.9799999999996,-12.913732578803705,REVIEW
2025-07,Greeley,5996.0199999999995,231.5,5764.5199999999995,124,12237.53,6241.510000000001,104.09421582983383,REVIEW
2025-08,Denver,2274.93,115.5,2159.43,38,7935.450000000001,5660.52,248.82172198705018,REVIEW
2025-08,Greeley,5868.82,115.0,5753.82,140,15712.93,9844.11,167.7357628961188,REVIEW
2025-09,Denver,7582.74,125.0,7457.74,92,7841.01,258.27000000000044,3.4060247351221387,OK
2025-09,Greeley,11535.13,1039.58,10495.55,245,24672.86,13137.730000000001,113.89321143324784,REVIEW
2025-10,Denver,9271.52,480.0,8791.52,132,15722.97,6451.449999999999,69.58352028577836,REVIEW
2025-10,Greeley,14335.289999999999,1066.46,13268.83,312,36596.409999999996,22261.119999999995,155.28894078878068,REVIEW
2025-11,Denver,11097.33,368.0,10729.33,136,12678.64,1581.3099999999995,14.249463609715123,REVIEW
2025-11,Greeley,10411.4,1100.05,9311.35,259,19649.98,9238.58,88.73523253356898,REVIEW
2025-12,Denver,5995.2699999999995,25.0,5970.2699999999995,106,13357.779999999999,7362.509999999999,122.80531152058205,REVIEW
2025-12,Greeley,6926.13,530.0,6396.13,237,16907.16,9981.029999999999,144.10688219828387,REVIEW
2026-01,Denver,1300.29,465.0,835.29,130,11364.439999999999,10064.149999999998,773.9927246998744,REVIEW
2026-01,Greeley,1612.54,1374.19,238.35,219,6299.88,4687.34,290.6805412578913,REVIEW
