Month,Facility,EHR_Total_Collected,EHR_Patient_Paid,EHR_Insurance_Paid,EHR_Visit_Count,QB_Deposits,QB_Deposit_Count,Discrepancy,Discrepancy_Pct,Flag
2025-05,Denver,0.0,0.0,0.0,0.0,100000.0,4,100000.0,0.0,REVIEW
2025-05,Greeley,0.0,0.0,0.0,0.0,100450.0,6,100450.0,0.0,REVIEW
2025-06,Denver,0.0,0.0,0.0,0.0,29472.04,8,29472.04,0.0,REVIEW
2025-06,Greeley,0.0,0.0,0.0,0.0,22724.34,34,22724.34,0.0,REVIEW
2025-07,Denver,0.0,0.0,0.0,0.0,9144.18,10,9144.18,0.0,REVIEW
2025-07,Greeley,0.0,0.0,0.0,0.0,24925.06,32,24925.06,0.0,REVIEW
2025-08,Denver,0.0,0.0,0.0,0.0,15870.9,6,15870.9,0.0,REVIEW
2025-08,Greeley,0.0,0.0,0.0,0.0,51704.2,64,51704.2,0.0,REVIEW
2025-09,Denver,7142.19,0.0,7142.19,108.0,18682.02,16,11539.830000000002,161.57271089119726,REVIEW
2025-09,Greeley,7259.17,365.0,6894.17,277.0,60795.72,73,53536.55,737.5023590851297,REVIEW
2025-10,Denver,6501.11,0.0,6501.11,146.0,42032.78,36,35531.67,546.5477433853604,REVIEW
2025-10,Greeley,2740.22,550.0,2190.22,325.0,74569.32,69,71829.1,2621.289531497471,REVIEW
2025-11,Denver,11010.36,0.0,11010.36,155.0,25503.9,20,14493.54,131.63547785903458,REVIEW
2025-11,Greeley,2282.98,530.0,1752.98,257.0,39749.96,70,37466.979999999996,1641.1435930231537,REVIEW
2025-12,Denver,6914.3099999999995,0.0,6914.3099999999995,127.0,26862.16,22,19947.85,288.5009494801361,REVIEW
2025-12,Greeley,1004.88,570.0,434.88,265.0,34183.0,61,33178.12,3301.6997054374656,REVIEW
2026-01,Denver,0.0,0.0,0.0,0.0,54875.5,14,54875.5,0.0,REVIEW
2026-01,Greeley,0.0,0.0,0.0,0.0,29184.74,39,29184.74,0.0,REVIEW
